TradeId,Date,Time (ET),Strategy,Symbol,Side,Contracts,Entry,Exit,P&L (pts),P&L ($),Reason,ORRangePts
20260706-101500-L,06 Jul 2026,10:15:00,CCORB,MNQ,LONG,1,30023.25,29957.00,-66.25,-134.38,Force EOD ⏰,0.00
20260709-130500-L,09 Jul 2026,13:05:00,CCORB,MNQ,LONG,1,29918.75,29918.50,-0.25,-2.38,Force EOD ⏰,0.00
20260710-113000-L,10 Jul 2026,11:30:00,CCORB,MNQ,LONG,1,29980.25,30043.75,63.50,125.12,Force EOD ⏰,172.00
20260715-102500-S,15 Jul 2026,10:25:00,CCORB,MNQ,SHORT,2,29673.88,29673.75,0.13,-3.26,Stop loss 🛑,223.25
20260717-100500-L,17 Jul 2026,10:05:00,CCORB,MNQ,LONG,1,28720.75,28721.00,0.25,-1.38,Stop loss 🛑,277.25
20260720-100000-S,20 Jul 2026,10:00:00,CCORB,MNQ,SHORT,1,28993.50,28993.25,0.25,-1.38,Stop loss 🛑,171.25
20260721-101000-S,21 Jul 2026,10:10:00,CCORB,MNQ,SHORT,1,29080.75,29249.00,-168.25,-338.38,Stop loss 🛑,151.50
20260722-100000-L,22 Jul 2026,10:00:00,CCORB,MNQ,LONG,1,29278.50,29194.50,-84.00,-169.88,Force EOD ⏰,166.00
20260724-100000-S,24 Jul 2026,10:00:00,CCORB,MNQ,SHORT,1,28321.25,28623.00,-301.75,-605.38,Stop loss 🛑,286.25
20260728-101500-S,28 Jul 2026,10:15:00,CCORB,MNQ,SHORT,1,27633.50,27998.50,-365.00,-731.88,Stop loss 🛑,339.75
20260729-101500-S,29 Jul 2026,10:15:00,CCORB,MNQ,SHORT,1,27650.50,27650.75,-0.25,-2.38,Stop loss 🛑,275.25
20260803-100000-L,03 Aug 2026,10:00:00,CCORB,MNQ,LONG,1,28625.00,28897.25,272.25,542.62,Force EOD ⏰,227.25
20260804-101000-L,04 Aug 2026,10:10:00,CCORB,MNQ,LONG,1,29518.50,29880.25,361.75,721.62,Force EOD ⏰,296.50
20260806-101000-L,06 Aug 2026,10:10:00,CCORB,MNQ,LONG,1,29579.00,29521.25,-57.75,-117.38,Force EOD ⏰,310.00
20260807-100000-S,07 Aug 2026,10:00:00,CCORB,MNQ,SHORT,1,29679.25,29679.00,0.25,-1.38,Stop loss 🛑,138.75
20260810-101000-L,10 Aug 2026,10:10:00,CCORB,MNQ,LONG,1,29875.75,29746.75,-129.00,-259.88,Force EOD ⏰,122.25
20260813-100000-L,13 Aug 2026,10:00:00,CCORB,MNQ,LONG,1,30176.75,30189.00,12.25,22.62,Force EOD ⏰,292.75
20260814-102500-S,14 Aug 2026,10:25:00,CCORB,MNQ,SHORT,1,30160.50,30127.25,33.25,64.62,Force EOD ⏰,110.75
20260817-110500-L,17 Aug 2026,11:05:00,CCORB,MNQ,LONG,1,30268.25,30165.00,-103.25,-208.38,Stop loss 🛑,100.50
